0,59.7,1,84.2,65
20,108,11.8,101.6,64
40,132.8,51.2,95.9,59.4
60,121.4,92,73.2,56.7
80,95.4,130.9,49.8,60
100,48.3,128.6,28.1,57.4
120,13.5,107.3,24.2,63
140,1.2,62.1,35.4,62.2
160,20.3,21.3,60.3,61.7
180,63.3,1.1,88.3,62.9
































